animal_001|Żyrafa skubiąca liście akacji|Giraffe eating acacia leaves
animal_063|Sroka kradnąca błyskotki|Magpie stealing shiny things
animal_064|Sowa obracająca głowę|Owl turning its head
animal_065|Orzeł szybujący nad górami|Eagle soaring above the mountains
animal_066|Jastrząb wypatrujący ofiary|Hawk scanning for prey
animal_067|Sokół nurkujący z wysoka|Falcon diving from above
animal_068|Bocian stojący w gnieździe|Stork standing in its nest
animal_069|Żuraw tańczący na łące|Crane dancing in a meadow
animal_070|Flaming stojący na jednej nodze|Flamingo standing on one leg
animal_071|Pingwin ślizgający się po lodzie|Penguin sliding on the ice
animal_072|Mewa kradnąca frytki|Seagull stealing fries
animal_073|Papuga powtarzająca słowa|Parrot repeating words
animal_074|Kanarek śpiewający w klatce|Canary singing in a cage
animal_075|Paw rozkładający ogon|Peacock spreading its tail
animal_076|Łabędź płynący po jeziorze|Swan gliding across a lake
animal_077|Delfin wyskakujący z wody|Dolphin jumping out of the water
animal_078|Wieloryb wypuszczający fontannę wody|Whale spraying a water spout
animal_079|Orka polująca w stadzie|Orca hunting in a pod
animal_080|Rekin krążący wokół łodzi|Shark circling a boat
animal_081|Foka leżąca na skale|Seal lying on a rock
animal_082|Mors z wielkimi kłami|Walrus with huge tusks
animal_083|Ośmiornica chowająca się w szczelinie|Octopus hiding in a crevice
animal_084|Kałamarnica wyrzucająca atrament|Squid squirting ink
animal_085|Meduza unosząca się w wodzie|Jellyfish drifting in the water
animal_086|Krab idący bokiem|Crab walking sideways
animal_087|Homar z wielkimi szczypcami|Lobster with huge claws
animal_088|Krewetka na dnie morza|Shrimp on the seabed
animal_089|Żółw chowający głowę do skorupy|Turtle pulling its head into its shell
animal_090|Krokodyl z otwartą paszczą|Crocodile with its jaws open
animal_091|Aligator czający się w bagnie|Alligator lurking in a swamp
animal_092|Wąż zrzucający skórę|Snake shedding its skin
animal_093|Jaszczurka wygrzewająca się na kamieniu|Lizard basking on a rock
animal_094|Kameleon zmieniający kolor|Chameleon changing color
animal_095|Żaba łapiąca muchę językiem|Frog catching a fly with its tongue
animal_096|Ropucha siedząca w trawie|Toad sitting in the grass
animal_097|Salamandra po deszczu|Salamander after the rain
animal_098|Motyl siedzący na kwiecie|Butterfly resting on a flower
animal_099|Pszczoła zbierająca nektar|Bee collecting nectar
animal_100|Pająk tkający pajęczynę|Spider weaving a web
